faultId,component,customerDescription
SPINTEL-8002-AE,ILOM,BIOS Hang
SPINTEL-8002-CJ,ILOM,MRC not successful. Unable to complete boot process.
SPINTEL-8002-DC,PCI,PCIE initialization failed to complete.
SPINTEL-8002-EQ,CPU,The Demoted Warm Reset (DWR) process was unable to complete or is deadlocked.
SPINTEL-8002-F4,CPU,The start of the boot process was unable to complete or is deadlocked.
SPINTEL-8002-GR,CPU,The Ultrapath Interconnect (UPI) initialization Code was unable to complete or is deadlocked.
SPINTEL-8002-H3,CPU,Indicates processor internal errors (IERR) have been detected.
SPINTEL-8002-JY,CPU,Multiple processor internal errors have occurrred.
SPINTEL-8002-KD,CPU,The Memory Reference Code (MRC) has detected that a processor has failed the built-in self-test for all the cores.
SPINTEL-8002-LH,CPU,The Memory Reference Code (MRC) has detected that a processor has failed the built-in self-test on a single core.
SPINTEL-8002-MA,CPU,Direct Media Interface (DMI) training has failed to complete within specified time.
SPINTEL-8002-NP,CPU,An indeterminate processor error has occurred.
SPINTEL-8002-P5,CPU,A processor has detected an internal fault.
SPINTEL-8002-QS,CPU,The Power Control Unit (PCu) on a processor has detected a catastrophic over current from the Integrated Voltage Regulator (IVR).
SPINTEL-8002-RJ,CPU,The Power control Unit (PCU) on a processor has detected a catastrophic over voltage from the Integrated Voltage Regulator (IVR).
SPINTEL-8002-SE,CPU,A processor has detected multiple memory controller address/command parity correctable errors.
SPINTEL-8002-TX,CPU,A processor has detected a memory controller address/command parity uncorrectable error.
SPINTEL-8002-U2,CPU,A processor has detected multiple memory controller correctable errors.
SPINTEL-8002-VR,CPU,The memory controller on a processor has experienced a timeout in it's Mesh2Mem logic.
SPINTEL-8002-W4,CPU,A processor has detected a memory controller uncorrectable error.
SPINTEL-8002-XQ,CPU,A processor has detected multiple Mid-Level Cache (MLC) correctable errors.
SPINTEL-8002-YC,CPU,A timeout occurred while sending to the Message Channel. This is an internal processor problem.
SPINTEL-8003-0Q,CPU,The Power Control Unit (PCU) on a processor has detected excessive die temperature on the processor.
SPINTEL-8003-1C,CPU,The processor has experienced a pkg C-state timeout or hang indicative of processor or UPI problems.
SPINTEL-8003-2R,CPU,The processor has experienced a pkg S-state timeout or hang indicative of a processor or UPI failure.
SPINTEL-8003-34,CPU,The processor has experienced a pkg S-state timeout or hang indicative of a processor or UPI failure.
SPINTEL-8003-4X,CPU,The System Management Bus (SMBUS) has detected a Vector Packet Processing (VPP) timeout indicative of a processor failure.
SPINTEL-8003-52,CPU,The System Management Bus (SMBUS) has detected a timeout waiting for the Power Management Request (PMR) completion to be received.
SPINTEL-8003-6J,CPU,During Boot Mode Processing more than 1 Intel TXT Agent has been detected.
SPINTEL-8003-7E,CPU,An invalid access to the System Configuration Controller (UBOX) on a processor has occurred.
SPINTEL-8003-85,CPU,The System Configuration Controller (UBOX) has encountered a message channel tracker error.
SPINTEL-8003-9S,CPU,The System Configuration Controller (UBOX) has encountered a MasterLock timeout or System Management Interuupt (SMI) Lock timeout.
SPINTEL-8003-AA,CPU,An Ultrapath Interconnect (UPI) correctable link error has occurred.
SPINTEL-8003-CP,CPU,An Ultrapath Interconnect (UPI) link down error has occurred.
SPINTEL-8003-DD,CPU,An Ultrapath Interconnect (UPI) CRC Link error has occurred.
SPINTEL-8003-EH,CPU,An Ultrapath Interconnect (UPI) uncorrectable link error has occurred.
SPINTEL-8003-F3,CPU,The Ultrapath Interconnect (UPI) has detected that a link has degraded width.
SPINTEL-8003-GY,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected mismatched Ultrapath Interconnect (UPI) link ends.
SPINTEL-8003-H4,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected an error in the Ultrapath Interconect (UPI) bus programming.
SPINTEL-8003-JR,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected a processor socket initialization failure.
SPINTEL-8003-KC,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected an Ultrapath Interconnect (UPI) resource request that was too large for the processor.
SPINTEL-8003-LQ,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected an Ultrapath Interconnect (UPI) resource for the processor that was not requested.
SPINTEL-8003-ME,CPU,An Ultrapath Interconnect (UPI) receiver failure has occurred.
SPINTEL-8003-NJ,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected that the system address decoder could not be setup.
SPINTEL-8003-P2,CPU,The Ultrapath Interconnect Reference Code (UPIRC) is unable to determine the processor topology.
SPINTEL-8003-QX,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected an Ultrapath topology failure associated with the UPI link.
SPINTEL-8003-RP,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected an Ultrapath topology failure associated with the processor socket.
SPINTEL-8003-SA,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected that the processors do not support Time Stamp Counter (TSC) synchronization.
SPINTEL-8003-TS,CPU,An Ultrapath Interconnect (UPI) transmitter (TX) failure has occurred.
SPINTEL-8003-U5,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected that the requested Ultrapath link speed is unsupported.
SPINTEL-8003-VY,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected that the Video Graphics Array (VGA) range target has an invalid socket.
SPINTEL-8003-W3,CPU,The Ultrapath Interconnect Reference Code (UPIRC) has detected that the Video Graphics Array (VGA) range target has an invalid stack.
SPINTEL-8003-XH,CPU,A processor has detected an unknown uncorrectable error.
SPINTEL-8003-YD,CPU,The Power Control Unit (PCU) on a processor has detected a voltage regulator failure.
SPINTEL-8004-02,CPU,A bus interconnect error has been detected.
SPINTEL-8004-1X,CPU,A bus interconnect error has been detected.
SPINTEL-8004-2E,CPU,A processor has detected multiple cache correctable errors.
SPINTEL-8004-3J,CPU,A processor has detected a cache uncorrectable error.
SPINTEL-8004-4C,CPU,A processor has detected multiple data cache correctable errors.
SPINTEL-8004-5Q,CPU,A processor has detected a data cache uncorrectable error.
SPINTEL-8004-64,CPU,A processor has detected multiple data TLB correctable errors.
SPINTEL-8004-7R,CPU,A processor has detected a data TLB uncorrectable error.
SPINTEL-8004-8H,CPU,A processor has detected multiple instruction cache correctable errors.
SPINTEL-8004-9D,CPU,A processor has detected an instruction cache uncorrectable error.
SPINTEL-8004-AY,CPU,A processor has detected multiple instruction TLB correctable errors.
SPINTEL-8004-C3,CPU,A processor has detected an instruction TLB uncorrectable error.
SPINTEL-8004-DS,CPU,A processor has detected multiple level 0 cache correctable errors.
SPINTEL-8004-E5,CPU,A processor has detected a level 0 cache uncorrectable error.
SPINTEL-8004-FP,CPU,A processor has detected multiple level 2 TLB correctable errors.
SPINTEL-8004-GA,CPU,A processor has detected a level 0 data cache uncorrectable error.
SPINTEL-8004-HJ,CPU,A processor has detected multiple level 0 data TLB correctable errors.
SPINTEL-8004-JE,CPU,A processor has detected a level 0 data TLB uncorrectable error.
SPINTEL-8004-KX,CPU,A processor has detected multiple level 0 instruction cache correctable errors.
SPINTEL-8004-L2,CPU,A processor has detected a level 0 instruction cache uncorrectable error.
SPINTEL-8004-MR,CPU,A processor has detected multiple level 0 instruction TLB correctable errors.
SPINTEL-8004-N4,CPU,A processor has detected a level 0 instruction TLB uncorrectable error.
SPINTEL-8004-PQ,CPU,A processor has detected multiple level 0 TLB correctable errors.
SPINTEL-8004-QC,CPU,A processor has detected a level 0 TLB uncorrectable error.
SPINTEL-8004-R3,CPU,A processor has detected multiple level 1 cache correctable errors.
SPINTEL-8004-SY,CPU,A processor has detected a level 1 cache uncorrectable error.
SPINTEL-8004-TD,CPU,A processor has detected multiple level 1 data cache correctable errors.
SPINTEL-8004-UH,CPU,A processor has detected a level 1 data cache uncorrectable error.
SPINTEL-8004-VA,CPU,A processor has detected multiple level 1 data TLB correctable errors.
SPINTEL-8004-WP,CPU,A processor has detected a level 1 data TLB uncorrectable error.
SPINTEL-8004-X5,CPU,A processor has detected multiple level 1 instruction cache correctable errors.
SPINTEL-8004-YS,CPU,A processor has detected a level 1 instruction cache uncorrectable error.
SPINTEL-8005-05,CPU,A processor has detected multiple level 1 instruction TLB correctable errors.
SPINTEL-8005-1S,CPU,A processor has detected a level 1 instruction TLB uncorrectable error.
SPINTEL-8005-2A,CPU,A processor has detected multiple level 1 TLB correctable errors.
SPINTEL-8005-3P,CPU,A processor has detected a level 1 TLB uncorrectable error.
SPINTEL-8005-4D,CPU,A processor has detected multiple level 2 cache correctable errors.
SPINTEL-8005-5H,CPU,A processor has detected a level 2 cache uncorrectable error.
SPINTEL-8005-63,CPU,A processor has detected multiple level 2 data cache correctable errors.
SPINTEL-8005-7Y,CPU,A processor has detected a level 2 data cache uncorrectable error.
SPINTEL-8005-8Q,CPU,A processor has detected multiple level 2 data TLB correctable errors.
SPINTEL-8005-9C,CPU,A processor has detected a level 2 data TLB uncorrectable error.
SPINTEL-8005-AR,CPU,A processor has detected multiple level 2 instruction cache correctable errors.
SPINTEL-8005-C4,CPU,A processor has detected a level 2 instruction TLB uncorrectable error.
SPINTEL-8005-DX,CPU,A processor has detected multiple level 2 instruction TLB correctable errors.
SPINTEL-8005-E2,CPU,A processor has detected a level 2 instruction TLB uncorrectable error.
SPINTEL-8005-FJ,CPU,A processor has detected multiple level 2 TLB correctable errors.
SPINTEL-8005-GE,CPU,A processor has detected a level 2 TLB uncorrectable error.
SPINTEL-8005-HP,CPU,A processor has detected multiple Last-Level Cache (LLC) correctable errors.
SPINTEL-8005-JA,CPU,A processor has detected a Last-Level Cache (LLC) uncorrectable error.
SPINTEL-8005-KS,CPU,Excessive temperature has been detected on a system component.
SPINTEL-8005-L5,CPU,CPU Timeout Failures
SPINTEL-8005-MY,CPU,A processor has detected multiple TLB correctable errors.
SPINTEL-8005-N3,CPU,A processor has detected a TLB uncorrectable error.
SPINTEL-8005-PH,CPU,An integrated I-O fatal core error has been detected.
SPINTEL-8005-QD,CPU,An integrated I-O fatal coherent interface protocol error has been detected
SPINTEL-8005-R4,CPU,An integrated I-O parity error on the internal configuration interface has been detected.
SPINTEL-8005-SR,CPU,ILOM was able to access the serial peripheral (SPI) flash device but the write was blocked or the resulting image was corrupted.
SPINTEL-8005-TC,CPU,An integrated I-O fatal vtd error has been detected.
SPINTEL-8005-UQ,CPU,ILOM has detected that the traffic controller on the Integrated I/O (IIO) of a processor has encountered multiple correctable errors.
SPINTEL-8005-VE,CPU,ILOM has detected that the traffic controller on the Integrated I/O (IIO) of a processor has encountered an uncorrectable error.
SPINTEL-8005-WJ,PCI,ILOM has detected that a PCIE link layer is inactive.
SPINTEL-8005-X2,PCI,PCIe Device Initialization Failed
SPINTEL-8005-YX,PCI,An integrated I-O fatal error in a downstream PCIE device has been detected.
SPINTEL-8006-0D,PCI,The ILOM fault manager has has determined a PCI link error has occurred which reduces the link speed of a PCI card.
SPINTEL-8006-1H,PCI,The ILOM fault manager has applied diagnosis to error reports
SPINTEL-8006-23,MEMORY,Multiple correctable ECC errors on a channel that has a 3D Xpoint (3DX) DIMM has been detected by the processor.
SPINTEL-8006-3Y,MEMORY,A memory uncorrectable ECC error on a channel that has a 3D Xpoint DIMM has been detected by the processor.
SPINTEL-8006-45,MEMORY,A 3D Xpoint (3DX) DIMM communications failure has occurred due to a protocol error.
SPINTEL-8006-5S,MEMORY,The ILOM fault manager has received an error report indicating the Memory Reference Code (MRC) has determined a 3D Xpoint (3DX) DIMM encountered a fatal error.
SPINTEL-8006-6A,MEMORY,A DIMM has encountered an excessive number of memory correctable errors.
SPINTEL-8006-7P,MEMORY,The health status of a Data Center Persistent Memory Module (DCPMM) aka 3D Xpoint (3DX) DIMM is failing.
SPINTEL-8006-8X,MEMORY,A memory channel failure has occurred.
SPINTEL-8006-92,MEMORY,Multiple correctable memory DIMM address/command parity errors have been detected.
SPINTEL-8006-AJ,MEMORY,An uncorrectable Memory DIMM address/command parity error has been detected.
SPINTEL-8006-CE,MEMORY,Multiple correctable ECC errors on a memory DIMM have been detected.
SPINTEL-8006-DQ,MEMORY,The Memory Reference Code (MRC) has detected a DIMM communication failure.
SPINTEL-8006-EC,MEMORY,A DIMM has encountered an excessive number of memory correctable errors.
SPINTEL-8006-FR,MEMORY,The Memory Reference Code (MRC) has detected a failure with setting up memory interleaving.
SPINTEL-8006-G4,MEMORY,The Memory Reference Code (MRC) has detected a Phase-Locked Loop (PLL) lock error on a memory DIMM.
SPINTEL-8006-HY,MEMORY,The Memory Reference Code (MRC) has detected a DIMM polling timeout event while obtaining DIMM parameters.
SPINTEL-8006-J3,MEMORY,The Memory Reference Code (MRC) has detected a memory DIMM that has failed receive-enable training.
SPINTEL-8006-KH,MEMORY,A memory uncorrectable ECC error on a Memory DIMM has been detected.
SPINTEL-8006-LD,MEMORY,The Memory Reference Code (MRC) has detected the system is unable to read or write DIMM voltage information.
SPINTEL-8006-MP,MEMORY,The Memory Reference Code (MRC) has detected a CLK loopback training error.
SPINTEL-8006-NA,MEMORY,The Memory Reference Code (MRC) has detected a clock (CLK) training error.
SPINTEL-8006-PS,MEMORY,A memory channel failure has occurred.  
SPINTEL-8006-Q5,MEMORY,The Memory Reference Code (MRC) has detected a DIMM has failed training.
SPINTEL-8006-RE,MEMORY,The Memory Reference Code (MRC) has detected a memory channel interleave failure.
SPINTEL-8006-SJ,MEMORY,The Memory Reference Code (MRC) has detected that a memory channel on-die termination (ODT) timing overflow has occurred.
SPINTEL-8006-T2,MEMORY,The Memory Reference Code (MRC) has detected a memory channel has failed the Revision Identification (RID) register training.
SPINTEL-8006-UX,MEMORY,The Memory Reference Code (MRC) has detected a memory channel uncorrectable error during Revision Identification (RID) register training.
SPINTEL-8006-V4,MEMORY,The Memory Reference Code (MRC) has detected an uncorrectable swizzle discovery error on a memory channel.
SPINTEL-8006-WR,MEMORY,The Memory Reference Code (MRC) has detected a memory channel training failure.
SPINTEL-8006-XC,MEMORY,A 3D Xpoint (3DX) DIMM has encountered an SMBUS write error.
SPINTEL-8006-YQ,MEMORY,The Memory Reference Code (MRC) has detected a DIMM encountered an error during memory channel initialization.
SPINTEL-8007-0C,MEMORY,The Memory Reference Code (MRC) has detected a DIMM encountered an error during memory channel I/O initialization.
SPINTEL-8007-1Q,MEMORY,The Memory Reference Code (MRC) has detected a DIMM encountered an error during memory channel initialization.
SPINTEL-8007-24,ILOM,The Memory Reference Code (MRC) has detected the system was unable to read the memory controller frequency.
SPINTEL-8007-3R,MEMORY,The Memory Reference Code (MRC) has detected that a DIMM failed memtest due to multiple symbols.
SPINTEL-8007-42,CPU,The Memory Reference Code (MRC) has detected a fuse error in the Power Controller Unit (PCU).
SPINTEL-8007-5X,ILOM,The Memory Reference Code (MRC) has detected that the Power Controller Unit (PCU) is not responding.
SPINTEL-8007-6E,MEMORY,The Memory Reference Code (MRC) has detected a memory controller frequency that is unsupported.
SPINTEL-8007-7J,CPU,The Platfom Controller Hub (PCH) is not compatible with the installed processor.
SPINTEL-8007-8S,PCI,The number of PCIe link correctable errors (CEs) have exceeded threshold limit.
SPINTEL-8007-95,MEMORY,The Memory Reference Code (MRC) has detected that the DCPMM DIMMs partitions are not the same size.
SPINTEL-8007-AP,MEMORY,The Memory Reference Code (MRC) has detected that no system memory is available.
SPINTEL-8007-CA,MEMORY,Excessive temperature has been detected on processors and DIMMs.
SPINTEL-8007-DH,MEMORY,The Memory Reference Code (MRC) has failed to set up memory channel interleaving on a DDR4 DIMM because near memory capacity has been exceeded.
SPINTEL-8007-ED,MEMORY,The Memory Reference Code (MRC) has failed to set up memory channel interleaving on a DDR4 DIMM because near memory capacity was below the minimum.
SPINTEL-8007-FY,MEMORY,The Memory Reference Code (MRC) has determined that the number of far memory channels is not a power of 2 in 2LM mode.
SPINTEL-8007-G3,MEMORY,The Memory Reference Code (MRC) has determined that the Data Center Persistent Memory Modules (DCPMM) cannot be used in Persistent Memory Mode when Software Guard Extensions (SGX) are enabled.
SPINTEL-8007-HR,MEMORY,The DCPMM DIMMs on a processor socket have mismatched capacities.
SPINTEL-8007-J4,MEMORY,The Data Center Persistent Memory Modules (DCPMM) cannot be used in Persistent Memory Mode when Total Memory Encryption (TME) is enabled
SPINTEL-8007-KQ,MEMORY,The Memory Reference Code (MRC) has determined that the AppDirect x1 operation is not allowed for the current DIMM population configuration.
SPINTEL-8007-LC,MEMORY,The memory DIMM is not supported in mixed mode (Two Level Memory (2LM) AppDirect x1 ).
SPINTEL-8007-MJ,MEMORY,The Memory Reference Code (MRC) has determined that a processor is unable to detect any DIMM's installed that are associated with that processor.
SPINTEL-8007-NE,MEMORY,The Memory Reference Code (MRC) has encountered an invalid DIMM configuration using memory population rules and guidelines for a processor socket.
SPINTEL-8007-PX,MEMORY,The Memory Reference Code (MRC) has determined that a combination of DIMM types across sockets associated with a processor is invalid.
SPINTEL-8007-Q2,MEMORY,The Memory Reference Code (MRC) has determined that the Total Memory Encryption (TME) physical address bits have exceeded maximum value.
SPINTEL-8007-RA,FW/SW,The Ultrapath Interconnect Reference Code (UPIRC) has determined that the UPI link speed is not supported by firmware.
SPINTEL-8007-SP,FW/SW,BIOS has received an unexpected ereport that was received from the root port of a processor.
SPINTEL-8007-T5,FW/SW,The Memory Reference Code (MRC) has detected a failure with setting up memory interleaving.
SPINTEL-8007-US,FW/SW,The Memory Reference Code (MRC) has determined that the power management thermal table for DIMMs was not found.
SPINTEL-8007-V3,FW/SW,The Memory Reference Code (MRC) has determined that the power management weight table was not found.
SPINTEL-8007-WY,FW/SW,The Memory Reference Code (MRC) has encountered an internal memory management error.
SPINTEL-8007-XD,FW/SW,The Memory Reference Code (MRC) has encountered a library internal error.
SPINTEL-8007-YH,FW/SW,The Memory Reference Code (MRC) has encountered an internal memory allocation error.
SPINTEL-8008-06,FW/SW,The Memory Reference Code (MRC) is unable to support patrol scrub operations.
SPINTEL-8008-1T,FW/SW,The Memory Reference Code (MRC) has determined that the memory DIMM population rules are invalid.
SPINTEL-8008-29,FW/SW,The Memory Reference Code (MRC) has determined that the memory DIMM population rules for a socket are unavailable.
SPINTEL-8008-3N,CPU,The processor has encountered an Asynchronous DRAM Refresh (ADR) timeout.
SPINTEL-8008-4G,CPU,The bus clock frequency for a processor has exceeded the fused threshold.
SPINTEL-8008-5L,CPU,The dispatcher of the Package Control Unit (PCU) on a processor has timed out.
SPINTEL-8008-60,CPU,The idle state of the Package Control Unit (PCU) Finite-State Machine (FSM) on a processor has timed out.
SPINTEL-8008-7V,CPU,A processor Built-in Self-Test (BIST) of it's Last Level Cache (LLC) has timed out.
SPINTEL-8008-8M,CPU,The Power Control Unit (PCU) on a processor has detected a power control failure.
SPINTEL-8008-98,CPU,The Power Control Unit (PCU) on a processor has detected a sideband timeout.
SPINTEL-8008-AU,CPU,The Power Control Unit (PCU) on a processor has encountered a problem with clock synchronization.
SPINTEL-8008-C7,CPU,A reset of the Power Control Unit (PCU) on a processor has timed out during processor initialization.
SPINTEL-8008-DW,PCI,Indicates that a PCIe component or device has encountered a completer abort error.
SPINTEL-8008-E1,PCI,The PCIe subsystem has encountered a completion timeout.
SPINTEL-8008-FK,PCI,A PCIe device has encountered excessive CE re-transmissions of a packet due to a faulty device.
SPINTEL-8008-GF,PCI,A PCIe device or processor has encountered a protocol error.
SPINTEL-8008-HN,PCI,A PCIe device encountered an Access Control Services (ACS) violation error.
SPINTEL-8008-J9,PCI,A PCIe device or processor has encountered malformed Transaction Layer Packets (TLP).
SPINTEL-8008-KT,PCI,A PCIe device or processor has received an unsupported request.
SPINTEL-8008-L6,PCI,The PCIe data link layer between a PCIe card and processor has encountered a surprise link down.
SPINTEL-8008-MV,PCI,A PCIe flow control protocol error between a PCIe device and processor has occurred.
SPINTEL-8008-N0,PCI,A PCIe link has encountered excessive CE re-transmissions of a packet due to a bad link.
SPINTEL-8008-PL,PCI,A PCIe data link layer has failed.
SPINTEL-8008-QG,PCI,An Integrated I/O (IIO) non-fatal error in a PCIe device has been detected.
SPINTEL-8008-R7,PCI,The Root Port of the Processor IO (RPPIO) configuration space has encountered a completer abort from a downstream PCIe device.
SPINTEL-8008-SU,PCI,A Root Port Processor IO (RPPIO) completion timeout was encountered from a downstream PCIe device.
SPINTEL-8008-T8,PCI,A Root Port of the Processor IO (RPPIO) memory or IO space encountered a completer abort.
SPINTEL-8008-UM,PCI,A Root Port of the Processor IO (RPPIO) memory or IO space encountered an unsupported request.
SPINTEL-8008-VF,CPU,The Coherent Memory Interface (CMI) has encountered a failure during initialization of a memory channel.
SPINTEL-8008-WK,MEMORY,The Memory Reference Code (MRC) has detected that completion delay times for DCPMMs were out of range.
SPINTEL-8008-X1,MEMORY,The Memory Reference Code encountered a DCPMM DIMM with a forced fatal transaction.
SPINTEL-8008-YW,MEMORY,The Memory Reference Code has detected a SMBUS read error on a  DCPMM DIMM.
SPINTEL-8009-01,MEMORY,The Memory Reference Code (MRC) has encountered a memory test failure on a memory DIMM.
SPINTEL-8009-1W,ILOM,The Memory Reference Code (MRC) has encountered a memory test failure on a memory channel.
SPINTEL-8009-2F,CPU,The Package Control Unit (PCU) on a processor has encountered an unsupported command or is not responding.
SPINTEL-8009-3K,MEMORY,The internal temperature on a memory DIMM has exceeded established thresholds.
SPINTEL-8009-48,CPU,A processor detected internal correctable errors that exceed the SERD threshold.
SPINTEL-8009-5M,CPU,A processor detected timeout correctable errors that exceed the SERD threshold.
SPINTEL-8009-67,MEMORY,Multiple correctable ECC errors have been detected by the processor on a Data Center Persistent Memory Module (DCPMM)
SPINTEL-8009-7U,MEMORY,"ILOM has determined a memory uncorrectable ECC error has been detected by the processor on a Data Center Persistent Memory Module (DCPMM), aka 3D Xpoint DIMM."
SPINTEL-8009-8L,MEMORY,The Memory Reference Code (MRC) has detected a polling timeout during memory channel DIMM training.
SPINTEL-8009-9G,MEMORY,The Address Indirection Table (AIT) for a DCPMM DIMM is not ready.
SPINTEL-8009-AV,MEMORY,Memory Reference Code (MRC) has identified DDR4 DIMMs on a processor socket have mismatched capacities.
SPINTEL-8009-C0,MEMORY,24GB DIMM Unsupported
SPINTEL-8009-DT,MEMORY,9x4 DIMM Config Invalid
SPINTEL-8009-E6,MEMORY,LRDIMM Unsupported
SPINTEL-8009-FN,MEMORY,Mem Channel Mixed Widths Unsupported
SPINTEL-8009-G9,FW/SW,Fatal Internal Error
SPINTEL-8009-HK,FW/SW,Ultrapath Config Unknown
SPINTEL-8009-JF,FW/SW,DDR Frequency Not Found
SPINTEL-8009-KW,FW/SW,Power Management Temp Threshold Invalid
SPINTEL-8009-L1,FW/SW,Row Failures List Not Updated
SPINTEL-8009-MU,FW/SW,VDD Out of Range
SPINTEL-8009-N7,CPU,Processor UBOX General Error
SPINTEL-8009-PM,CPU,Processor RCIEP Correctable
SPINTEL-8009-Q8,CPU,Processor RCIEP Uncorrectable
SPINTEL-8009-R0,MEMORY,MRC Polling Timeout
SPINTEL-8009-SV,MEMORY,DIMM Power Failure
SPINTEL-8009-TG,MEMORY,SPD Block Unlocked
SPINTEL-8009-UL,MEMORY,DIMM Zero Margin Error
SPINTEL-8009-V9,MEMORY,The Memory Reference Code (MRC) detected a timing margin error during DIMM training.
SPINTEL-8009-WN,MEMORY,DIMM Vendor Version Unsupported
SPINTEL-8009-X6,MEMORY,DIMM Socket Configuration is Nonuniform
SPINTEL-8009-YT,PCI,PCIe Link Training Failure
SPINTEL-800A-08,CPU,GPU Page Retirement Exceeded
SPINTEL-800A-1M,CPU,GPU Row Remappings Exceed Threshold.  The GPU should be manually taken offline immediately. Failure to replace the GPU may cause the server to encounter fatal memory errors.
SPNVDA-8000-1Y,CPU,CPU Access Invalid Fatal.
SPNVDA-8000-2D,FW/SW,CPU Access Invalid Fatal Transient.
SPNVDA-8000-3H,FW/SW,The processor firmware has encountered a recurrent fatal error.
SPNVDA-8000-4A,CPU,CPU Firmware Fatal Transient.
SPNVDA-8000-5P,FW/SW,CPU Firmware Uncorrectable Recoverable.
SPNVDA-8000-65,ILOM,The system failed to successfully start the BIOS image or is deadlocked.
SPNVDA-8000-7S,ILOM,The system failed to successfully complete the PEI phase of SBIOS or is deadlocked.
SPNVDA-8000-8J,ILOM,The system failed to successfully start the SBIOS image on the Grace CPU or is deadlocked.
SPNVDA-8000-9E,CPU,CPU Array Fatal
SPNVDA-8000-AX,CPU,CPU Array Fatal Transient.
SPNVDA-8000-C2,CPU,CPU C2C Link Fatal.
SPNVDA-8000-DR,CPU,CPU C2C Link Fatal Transient.
SPNVDA-8000-E4,CPU,CPU C2C Link Recovery Failed Fatal.
SPNVDA-8000-FQ,CPU,CPU C2C Link Recovery Failed Fatal Transient.
SPNVDA-8000-GC,CPU,CPU CLINK Fatal.
SPNVDA-8000-HH,CPU,CPU CLINK Fatal Transient.
SPNVDA-8000-JD,CPU,The processor has detected a frequency violation.
SPNVDA-8000-KY,CPU,The processor has detected a frequency violation transient.
SPNVDA-8000-L3,CPU,CPU Internal Fatal.
SPNVDA-8000-MS,CPU,CPU Internal Fatal Transient.
SPNVDA-8000-N5,CPU,CPU Internal Bus Fatal.
SPNVDA-8000-PP,CPU,CPU Internal Bus Fatal Transient.
SPNVDA-8000-QA,CPU,A processor has detected the consumption of poison data by a sub-unit that was incapable of containing the error.
SPNVDA-8000-R2,CPU,Excessive temperature has been detected on a processor.
SPNVDA-8000-SX,CPU,CPU Timeout Fatal.
SPNVDA-8000-TE,CPU,CPU Timeout Fatal Transient
SPNVDA-8000-UJ,CPU,CPU Voltage Violation Fatal.
SPNVDA-8000-VC,CPU,CPU Voltage Violation Fatal Transient.
SPNVDA-8000-WQ,GPU,GPU Nvidia Poison Data Uncontained Unknown.
SPNVDA-8000-X4,GPU,GPU Nvidia Poison Data Uncontained Unknown.
SPNVDA-8000-YR,PCI,PCIe Correctable Error.
SPNVDA-8001-04,PCI,Downstream I/O device is faulty.
SPNVDA-8001-1R,PCI,PCIe Fatal Error.
SPNVDA-8001-2C,PCI,PCIe Non Fatal Error on Device.
SPNVDA-8001-3Q,CPU,A Cross Socket Attestation (CSA) failure has occurred.
SPNVDA-8001-4E,CPU,Boot Remote Socket Excluded.
SPNVDA-8001-5J,CPU,CPU CMET Corrupt.
SPNVDA-8001-62,GPU,Liquid Coolant leak detected near or around CPUs or GPUs.
SPNVDA-8001-7X,LEAK_SENSOR,Cooling GPU or CPU Sensor Disconnected
SPNVDA-8001-8P,LEAK_SENSOR,Cooling GPU or CPU Sensor Shorted.
SPNVDA-8001-9A,GPU,Leak detected at manifold or quick disconnect valve.
SPNVDA-8001-AS,LEAK_SENSOR,The leak sensor for the manifold or quick disconnect valve has shorted.
SPNVDA-8001-C5,LEAK_SENSOR,The leak sensor for the CPUs and GPUs has shorted.
SPNVDA-8001-DY,POWER,The system was not powered on successfully during the power-on process.
SPNVDA-8001-E3,POWER,Compute Node Power Failed.
SPNVDA-8001-FH,GPU,Nvidia GPU Overtemp
SPNVDA-8001-GD,CPU,CPU C2C Link Init Failed.
SPNVDA-8001-HQ,GPU,CPU C2C Link Init Failed.
SPNVDA-8001-JC,CPU,Boot CPU Init Failed.
SPNVDA-8001-KR,CPU,Boot CPU Link Init Failed
SPNVDA-8001-L4,CPU,Boot DRAM ECC Error
SPNVDA-8001-MX,CPU,Boot Load Failed
SPNVDA-8001-N2,CPU,The boot temperature of a processor is out of range.
SPNVDA-8001-PJ,CPU,Boot SPI Access Failure
SPNVDA-8001-QE,CPU,Boot UPHY Init Failed
SPNVDA-8001-R5,GPU,GPU SRAM Unrecoverable Uncorrectable Error.
SPNVDA-8001-SS,GPU,GPU DRAM Recoverable Uncorrectable ECC.
SPNVDA-8001-TA,GPU,GPU DRAM Unrecoverable Uncorrectable ECC
SPNVDA-8001-UP,PCI,PCIe link layer is inactive.
SPNVDA-8001-VD,PCI,PCIe Device Init Failed.
SPNVDA-8001-WH,PCI,IIO PCIE Error in Downstream Leaf Devices.
